epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2412.51,1.19095,1.18619,0.89241,0.80038,0.08064,0.10918,0.07881,1.24492,1.34454,0.96785,0.000643101,0.000643101,0.000643101
43,2464.75,1.16164,1.14694,0.8883,0.85733,0.07952,0.11281,0.08455,1.17557,1.29487,0.95124,0.000628101,0.000628101,0.000628101
44,2526.12,1.18107,1.16399,0.88277,0.75865,0.07952,0.1122,0.08441,1.17538,1.30069,0.96371,0.000612981,0.000612981,0.000612981
45,2593.31,1.18649,1.13835,0.87991,0.8403,0.09105,0.1376,0.10337,1.16088,1.24184,0.94441,0.000597754,0.000597754,0.000597754
46,2661.67,1.17369,1.08922,0.88512,0.79687,0.07752,0.11121,0.08627,1.04534,1.21385,0.9372,0.000582435,0.000582435,0.000582435
47,2732.9,1.17177,1.09087,0.88253,0.83893,0.07952,0.10728,0.08491,1.057,1.15054,0.9389,0.00056704,0.00056704,0.00056704
48,2788.85,1.14147,1.04822,0.88369,0.85216,0.08018,0.10764,0.07984,1.12728,1.11645,0.94165,0.000551584,0.000551584,0.000551584
49,2845.88,1.11871,1.05775,0.87001,0.8123,0.07952,0.10867,0.08223,1.15145,1.10894,0.94313,0.000536081,0.000536081,0.000536081
50,2913.01,1.09768,1.00215,0.87751,0.86248,0.07952,0.1091,0.08545,1.03383,1.03897,0.93319,0.000520548,0.000520548,0.000520548
51,2975.23,1.10988,1.0167,0.8693,0.86226,0.056,0.08578,0.06198,1.32806,1.0783,0.98715,0.000505,0.000505,0.000505
52,3029.62,1.10583,0.96286,0.87066,0.7672,0.068,0.09221,0.06963,1.11272,1.03615,0.9479,0.000489452,0.000489452,0.000489452
53,3089.14,1.07584,0.96097,0.8701,0.81567,0.056,0.08838,0.06739,1.04894,1.04161,0.93745,0.000473919,0.000473919,0.000473919
54,3159.17,1.07629,0.97171,0.86199,0.88482,0.07952,0.11545,0.08546,1.09342,1.02463,0.93899,0.000458416,0.000458416,0.000458416
55,3238.94,1.04746,0.93865,0.86265,0.85321,0.056,0.08341,0.06085,1.0677,0.971,0.93655,0.00044296,0.00044296,0.00044296
56,3306.98,1.09524,0.93336,0.86139,0.77306,0.0806,0.11781,0.09211,1.05578,0.97386,0.93513,0.000427565,0.000427565,0.000427565
57,3367.36,1.10282,0.91766,0.87331,0.79813,0.05745,0.0841,0.05972,1.18074,1.00759,0.94829,0.000412246,0.000412246,0.000412246
58,3447.56,1.10382,0.93055,0.86618,0.67154,0.13005,0.14387,0.10206,1.19878,0.96814,0.94297,0.000397019,0.000397019,0.000397019
59,3494.02,1.06918,0.91667,0.86356,0.86309,0.07971,0.12126,0.08865,1.17129,0.942,0.94403,0.000381899,0.000381899,0.000381899
60,3542.62,1.05413,0.86804,0.86158,0.82034,0.08136,0.10996,0.08071,1.13045,0.88341,0.94026,0.000366899,0.000366899,0.000366899
61,3603.09,1.02991,0.88496,0.86543,0.82118,0.05613,0.08802,0.06577,1.03552,0.90088,0.93666,0.000352037,0.000352037,0.000352037
